Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,KDA,Ban %,Fighter,Mage,Assassin,Marksman,Tank,Support
Aatrox,Fighter,TOP,4,58.25,6.52,0.4997,0.9462,0.0443,1.97,0.0203,1,0,0,0,0,0
Ahri,Mage,MID,4,53.21,-0.24,0.4993,0.9347,0.0462,2.56,0.0104,0,1,0,0,0,0
Akali,Assassin,MID,5,65.3,6.51,0.4859,0.6565,0.0816,2.34,0.1288,0,0,1,0,0,0
Akali,Assassin,TOP,4,57.87,3.34,0.4857,0.3406,0.0424,2.04,0.1288,0,0,1,0,0,0
Akshan,Marksman,MID,5,59.85,0.65,0.5146,0.5801,0.0483,2.23,0.2191,0,0,0,1,0,0
Akshan,Marksman,TOP,4,55.89,-0.46,0.5158,0.3345,0.0271,1.97,0.2191,0,0,0,1,0,0
Alistar,Tank,SUPPORT,3,46.08,-2.74,0.4992,0.9855,0.0365,2.51,0.0084,0,0,0,0,1,0
Amumu,Tank,JUNGLE,3,45.69,1.72,0.5027,0.8311,0.0313,2.62,0.0151,0,0,0,0,1,0
Amumu,Tank,SUPPORT,2,35.88,2.55,0.5009,0.1495,0.0044,2.05,0.0164,0,0,0,0,1,0
Anivia,Mage,MID,4,53.38,-1.26,0.5197,0.8216,0.0332,2.66,0.0303,0,1,0,0,0,0
Anivia,Mage,SUPPORT,1,31.74,-1.46,0.4766,0.1251,0.0044,2.18,0.0303,0,1,0,0,0,0
Annie,Mage,MID,4,48.81,6.23,0.5245,0.85,0.0217,2.39,0.0071,0,1,0,0,0,0
Aphelios,Marksman,ADC,2,35.96,-1.67,0.4736,0.9834,0.0579,2.03,0.0146,0,0,0,1,0,0
Ashe,Marksman,ADC,3,43.08,-9.95,0.4966,0.934,0.0603,2.32,0.0111,0,0,0,1,0,0
Aurelion Sol,Mage,MID,3,42.15,-2.74,0.5081,0.9123,0.0089,2.55,0.0025,0,1,0,0,0,0
Azir,Mage,MID,1,32.69,2.09,0.4667,0.9068,0.0112,2.1,0.0021,0,1,0,0,0,0
Bard,Support,SUPPORT,4,49.81,2.27,0.5023,0.9867,0.0405,2.97,0.01,0,0,0,0,0,1
Blitzcrank,Tank,SUPPORT,5,67.8,-0.81,0.5187,0.9949,0.0861,2.44,0.1823,0,0,0,0,1,0
Brand,Mage,SUPPORT,3,45.21,-4.17,0.4918,0.7904,0.0468,1.77,0.0587,0,1,0,0,0,0
Brand,Mage,MID,3,41.21,1.44,0.5168,0.1283,0.0082,2.04,0.0643,0,1,0,0,0,0
Braum,Support,SUPPORT,4,46.74,2.77,0.5073,0.994,0.0287,2.79,0.0039,0,0,0,0,0,1
Caitlyn,Marksman,ADC,6,88.48,-0.16,0.5009,0.987,0.213,2.31,0.1896,0,0,0,1,0,0
Camille,Fighter,TOP,6,84.61,9.6,0.502,0.968,0.0717,1.99,0.0754,1,0,0,0,0,0
Cassiopeia,Mage,MID,3,44.08,-2,0.503,0.719,0.0243,2.09,0.0136,0,1,0,0,0,0
Cassiopeia,Mage,TOP,1,26.2,-7.91,0.4947,0.1798,0.0068,1.83,0.0136,0,1,0,0,0,0
Cho'Gath,Tank,TOP,4,52.76,2.64,0.5282,0.7256,0.0259,2.2,0.0095,0,0,0,0,1,0
Cho'Gath,Tank,MID,2,37.75,-4.65,0.4957,0.1742,0.0055,2.37,0.0095,0,0,0,0,1,0
Corki,Marksman,MID,4,58.2,0.29,0.4938,0.9276,0.0679,2.17,0.0391,0,0,0,1,0,0
Darius,Fighter,TOP,6,83.96,16.49,0.5037,0.9585,0.0658,1.87,0.1517,1,0,0,0,0,0
Diana,Fighter,JUNGLE,6,82.96,44.71,0.5146,0.8398,0.1219,2.49,0.1281,1,0,0,0,0,0
Diana,Fighter,MID,4,49.05,4.03,0.5262,0.1514,0.0217,2.2,0.1281,1,0,0,0,0,0
Dr. Mundo,Marksman,TOP,5,62.73,-2.08,0.5176,0.9181,0.0406,2.26,0.0297,0,0,0,1,0,0
Draven,Fighter,ADC,3,46.38,-4.53,0.5052,0.959,0.063,2.16,0.1239,1,0,0,0,0,0
Ekko,Assassin,JUNGLE,4,55.93,-1.56,0.4991,0.6439,0.0616,2.74,0.0409,0,0,1,0,0,0
Ekko,Assassin,MID,4,46.78,0.91,0.4967,0.3337,0.0326,2.24,0.0409,0,0,1,0,0,0
Elise,Mage,JUNGLE,3,40.59,-3.1,0.4948,0.9498,0.0222,2.56,0.0166,0,1,0,0,0,0
Evelynn,Assassin,JUNGLE,4,48.04,-1.54,0.4964,0.9886,0.0346,2.94,0.0885,0,0,1,0,0,0
Ezreal,Marksman,ADC,6,75.98,1.83,0.4928,0.9747,0.2007,2.39,0.052,0,0,0,1,0,0
Fiddlesticks,Mage,JUNGLE,3,46.01,-1.29,0.5054,0.9205,0.0291,2.68,0.0286,0,1,0,0,0,0
Fiora,Fighter,TOP,5,75.08,4.32,0.5005,0.9765,0.0608,1.76,0.1076,1,0,0,0,0,0
Fizz,Assassin,MID,4,52.25,1.44,0.5083,0.9626,0.0383,2.46,0.0453,0,0,1,0,0,0
Galio,Tank,MID,4,46.86,0.84,0.5038,0.6328,0.0228,2.71,0.0054,0,0,0,0,1,0
Galio,Tank,SUPPORT,2,36.89,-1.3,0.4887,0.3391,0.0122,2.35,0.0054,0,0,0,0,1,0
Gangplank,Fighter,TOP,5,65.59,14.31,0.4766,0.8734,0.0592,1.99,0.0444,1,0,0,0,0,0
Gangplank,Fighter,MID,2,36.57,3.4,0.4867,0.1295,0.009,2.23,0.0441,1,0,0,0,0,0
Garen,Fighter,TOP,5,73.99,15.67,0.5155,0.8746,0.0574,2.1,0.0213,1,0,0,0,0,0
Gnar,Fighter,TOP,4,47.1,4.58,0.4986,0.9787,0.0305,2.01,0.006,1,0,0,0,0,0
Gragas,Fighter,TOP,2,37.47,-2.35,0.4875,0.3967,0.0196,2.24,0.0032,1,0,0,0,0,0
Gragas,Fighter,JUNGLE,2,36.1,-7.55,0.48,0.406,0.0164,2.7,0.0032,1,0,0,0,0,0
Gragas,Fighter,SUPPORT,1,32.15,-2.55,0.4764,0.1154,0.0049,2.25,0.0032,1,0,0,0,0,0
Graves,Marksman,JUNGLE,5,59.84,-9.95,0.4928,0.6707,0.0751,2.58,0.0944,0,0,0,1,0,0
Graves,Marksman,TOP,3,42.78,-7.19,0.491,0.2553,0.0275,1.72,0.0944,0,0,0,1,0,0
Gwen,Fighter,TOP,4,54.66,13.03,0.4982,0.8283,0.0423,1.73,0.0243,1,0,0,0,0,0
Gwen,Fighter,JUNGLE,2,38.68,5.74,0.5135,0.134,0.007,2.36,0.0243,1,0,0,0,0,0
Hecarim,Fighter,JUNGLE,5,71.27,12.91,0.5118,0.9923,0.0894,3.02,0.0804,1,0,0,0,0,0
Heimerdinger,Mage,MID,2,35.89,-1.34,0.4928,0.3585,0.008,1.96,0.0081,0,1,0,0,0,0
Heimerdinger,Mage,ADC,2,34.01,-1.93,0.5176,0.1556,0.0029,2.23,0.0081,0,1,0,0,0,0
Heimerdinger,Mage,SUPPORT,2,33.85,-1.74,0.4985,0.1009,0.002,1.83,0.0092,0,1,0,0,0,0
Heimerdinger,Mage,TOP,1,24.16,-8.38,0.4887,0.3886,0.008,1.65,0.0081,0,1,0,0,0,0
Illaoi,Fighter,TOP,2,34.11,-3.45,0.4916,0.9236,0.0207,1.49,0.0253,1,0,0,0,0,0
Irelia,Fighter,TOP,6,81.35,-5.02,0.491,0.6,0.0624,1.58,0.2351,1,0,0,0,0,0
Irelia,Fighter,MID,4,48.07,-1.08,0.4824,0.3917,0.041,1.75,0.2351,1,0,0,0,0,0
Ivern,Support,JUNGLE,2,38.83,1.46,0.4809,0.8502,0.0121,3.41,0.0034,0,0,0,0,0,1
Janna,Support,SUPPORT,4,51.92,-3.82,0.5056,0.952,0.046,3,0.0057,0,0,0,0,0,1
Jarvan IV,Tank,JUNGLE,4,54.92,4.21,0.5104,0.9341,0.0422,3.37,0.0054,0,0,0,0,1,0
Jax,Fighter,TOP,6,82.16,3.63,0.5068,0.8579,0.0684,1.63,0.1098,1,0,0,0,0,0
Jax,Fighter,JUNGLE,2,34.7,-5.49,0.494,0.1326,0.0111,2.13,0.1039,1,0,0,0,0,0
Jayce,Fighter,TOP,5,73.56,-5.02,0.4944,0.7477,0.0654,1.78,0.0413,1,0,0,0,0,0
Jayce,Fighter,MID,3,39.29,-2.3,0.4862,0.2413,0.0197,2.05,0.0413,1,0,0,0,0,0
